"","Feature","pval","pval.adj","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"25","ASV_0046",0.0147316508011455,0.0203118215591552,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"26","ASV_0047",8.55984389425496e-13,1.29824299062867e-11,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas",NA
"27","ASV_0050",5.80859581684245e-09,3.10930717254508e-08,"Log ANOVA 2 (lao2)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Family_Desulfovibrionaceae",NA
"28","ASV_0051",2.11500590199218e-05,5.20177127246726e-05,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Faecalicatena",NA
"29","ASV_0058",3.54887064970739e-14,6.45894458246744e-13,"Log ANOVA 2 (lao2)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia",NA
"30","ASV_0059",4.82333010414046e-10,3.99020944978892e-09,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Order_Clostridiales","Order_Clostridiales",NA
"31","ASV_0062",2.07418928461823e-08,9.93427499475046e-08,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter",NA
"32","ASV_0064",7.49653682435584e-05,0.000155042011594632,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Family_Erysipelotrichaceae",NA
"34","ASV_0079",0.00992123397214903,0.0148005293682879,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"35","ASV_0083",0.00103787810133801,0.00174901680040294,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix",NA
"36","ASV_0085",4.57922961560152e-10,3.99020944978892e-09,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1","Peptococcus",NA
"37","ASV_0086",0.000556090497681762,0.0010327394956947,"Log ANOVA 2 (lao2)","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",NA
"38","ASV_0094",0.0019160353848923,0.00305893368465262,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Clostridium_XVIII",NA
"39","ASV_0095",3.30020185354773e-05,7.50795921682108e-05,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Family_Peptostreptococcaceae",NA
"40","ASV_0100",3.46877267104937e-10,3.50731458961658e-09,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus",NA
"41","ASV_0101",0.00277656446631281,0.00435633390404251,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Class_Clostridia","Class_Clostridia","Class_Clostridia",NA
"42","ASV_0105",7.66717323335603e-05,0.0001550472809412,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus",NA
"44","ASV_0109",0.00150895187582439,0.00245204679821463,"Log ANOVA 2 (lao2)","Bacteria","Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria",NA
"47","ASV_0115",0.0123249082393337,0.0178026452345931,"Log ANOVA 2 (lao2)","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",NA
"48","ASV_0121",0.000500613841174848,0.000949080407227315,"Log ANOVA 2 (lao2)","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA
"49","ASV_0123",2.82371295305086e-05,6.58866355711868e-05,"Log ANOVA 2 (lao2)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",NA
"50","ASV_0131",8.45187360819161e-07,3.34400216671929e-06,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa",NA
"51","ASV_0135",2.69143062363944e-09,1.74318880798186e-08,"Log ANOVA 2 (lao2)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Family_Eggerthellaceae",NA
"52","ASV_0150",2.87338814502504e-09,1.74318880798186e-08,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum",NA
"53","ASV_0153",1.0019047525394e-06,3.79888885337856e-06,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"54","ASV_0157",3.2407458414517e-11,3.68634839465131e-10,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes",NA
"56","ASV_0164",7.2085462257815e-05,0.000152552955010725,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta",NA
"57","ASV_0165",0.0162132964530405,0.0217284866350577,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerobacterium",NA
"59","ASV_0179",5.48032419333745e-06,1.60874032772164e-05,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerofilum",NA
"60","ASV_0181",0.0162366713316915,0.0217284866350577,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longicatena",NA
"61","ASV_0184",1.98293437958153e-07,8.59271564485328e-07,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum",NA
"62","ASV_0190",0.00326525674482374,0.00503624345388068,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cuneatibacter",NA
"63","ASV_0195",4.45810817113829e-06,1.3989235985296e-05,"Log ANOVA 2 (lao2)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Family_Coriobacteriaceae",NA
"64","ASV_0200",0.000639198492145826,0.0011016583902091,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibacillus",NA
"66","ASV_0251",0.000581524912311296,0.00103762288275153,"Log ANOVA 2 (lao2)","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Family_Synergistaceae",NA
"67","ASV_0270",2.68646579045181e-05,6.43337860345039e-05,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum",NA
"68","ASV_0282",1.70358546654314e-05,4.30628548487294e-05,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudoflavonifractor",NA
"69","ASV_0288",0.000641625216275629,0.0011016583902091,"Log ANOVA 2 (lao2)","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",NA
"70","ASV_0294",5.22495738314138e-05,0.000115968566308748,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA
"72","ASV_0310",4.72600309592625e-06,1.43355427243096e-05,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Paludicola",NA
"73","ASV_0330",6.44289087392891e-06,1.83219709227353e-05,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Colidextribacter",NA
"74","ASV_0340",0.0132022514029777,0.0187719512136089,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Beduinibacterium",NA
"76","ASV_0358",8.43866138976553e-06,2.3270248074808e-05,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus",NA
"78","ASV_0395",0.0140168660831224,0.0196236125163714,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis",NA
"79","ASV_0398",0.00117662482597427,0.00194677925752107,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor",NA
"80","ASV_0404",7.21479935336396e-10,5.05035954735477e-09,"Log ANOVA 2 (lao2)","Bacteria","Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria",NA
"81","ASV_0413",2.18716188182117e-07,9.04689687480577e-07,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruthenibacterium",NA
"82","ASV_0431",1.45541513084143e-06,5.09395295794501e-06,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella",NA
"84","ASV_0520",9.25076261764046e-06,2.47593940648612e-05,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Breznakia",NA
"87","ASV_0714",0.020790331944499,0.027412614793838,"Log ANOVA 2 (lao2)","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas",NA
"89","ASV_0813",0.00339239166693154,0.00514512736151283,"Log ANOVA 2 (lao2)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Dysosmobacter",NA
