"","Feature","pval","pval.adj","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"48","ASV_0123",2.26460023504626e-08,1.23886954034884e-07,"ANOVA - ALR (aoa)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",NA
"49","ASV_0131",3.04198666221551e-07,1.17876983160851e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa",NA
"50","ASV_0135",7.73809168479782e-16,2.39880842228733e-14,"ANOVA - ALR (aoa)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Family_Eggerthellaceae",NA
"52","ASV_0150",8.77441753490403e-07,2.72006943582025e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum",NA
"53","ASV_0153",6.07593979557133e-07,2.17331692687744e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"55","ASV_0164",2.48652409331951e-06,6.60704973367756e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta",NA
"56","ASV_0165",0.001133159535788,0.00215069054751599,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerobacterium",NA
"57","ASV_0175",0.0028562306537096,0.0050118764300942,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Frisingicoccus",NA
"58","ASV_0179",1.12788613260079e-07,5.29979367635684e-07,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerofilum",NA
"59","ASV_0181",0.00814004237131091,0.0135182846523556,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longicatena",NA
"60","ASV_0184",2.29357620774213e-05,4.84778607545496e-05,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum",NA
"61","ASV_0190",3.89003502687376e-06,9.52034888155946e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cuneatibacter",NA
"62","ASV_0195",1.13974057556061e-07,5.29979367635684e-07,"ANOVA - ALR (aoa)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Family_Coriobacteriaceae",NA
"63","ASV_0200",0.0238582604676966,0.0362072604720581,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibacillus",NA
"66","ASV_0251",2.57152698481893e-06,6.64311137744891e-06,"ANOVA - ALR (aoa)","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Family_Synergistaceae",NA
"67","ASV_0270",0.0053736052611456,0.0092545423941952,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum",NA
"68","ASV_0282",7.98437348212485e-06,1.85636683459403e-05,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudoflavonifractor",NA
"69","ASV_0308",1.34324737745658e-06,3.90381269073318e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus",NA
"70","ASV_0310",1.89093254406272e-07,7.99348757262878e-07,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Paludicola",NA
"71","ASV_0330",5.03682773539788e-07,1.87369991756801e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Colidextribacter",NA
"72","ASV_0340",0.0166913834048465,0.0263101467228937,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Beduinibacterium",NA
"76","ASV_0385",2.13581416714065e-06,5.84207992776706e-06,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruthenibacterium",NA
"78","ASV_0394",0.000474949659068698,0.000920214964445603,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA
"79","ASV_0395",0.0259141728389075,0.0382542551431492,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis",NA
"80","ASV_0398",0.00603687714604947,0.0102078104469564,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor",NA
"81","ASV_0403",5.04735457204137e-05,0.000104311994488855,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Breznakia",NA
"82","ASV_0404",2.42102595691865e-07,9.78936582580148e-07,"ANOVA - ALR (aoa)","Bacteria","Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria",NA
"84","ASV_0431",0.01009853534523,0.0164765576685331,"ANOVA - ALR (aoa)","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella",NA
