"","Feature","pval","pval.adj","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"53","ASV_0164",8.82461038973748e-06,2.20615259743437e-05,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta",NA
"56","ASV_0179",0.000317035078392906,0.000578032544143861,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerofilum",NA
"58","ASV_0190",1.12076626240477e-09,4.80328398173472e-09,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cuneatibacter",NA
"59","ASV_0195",1.02789040593539e-07,3.30393344764947e-07,"ANOVA - CLR (aoc)","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Family_Coriobacteriaceae",NA
"61","ASV_0206",4.25225691463736e-21,1.91351561158681e-19,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum",NA
"64","ASV_0282",4.39482442571752e-05,9.88835495786441e-05,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudoflavonifractor",NA
"65","ASV_0288",1.05834573046481e-13,1.05834573046481e-12,"ANOVA - CLR (aoc)","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",NA
"67","ASV_0307",1.15228081514609e-08,3.84093605048696e-08,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes",NA
"68","ASV_0308",8.10571600087724e-06,2.08432697165415e-05,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus",NA
"69","ASV_0310",0.0154346559703097,0.0224051457633527,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Paludicola",NA
"73","ASV_0367",7.52440750875861e-05,0.000158957748875213,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium",NA
"75","ASV_0385",0.00127391826730878,0.00208459352832346,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruthenibacterium",NA
"77","ASV_0398",1.27545529023531e-06,3.58721800378681e-06,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor",NA
"79","ASV_0404",2.82675672468507e-05,6.52328474927323e-05,"ANOVA - CLR (aoc)","Bacteria","Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria",NA
"80","ASV_0410",0.00419320710651162,0.00628981065976742,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Dysosmobacter",NA
"82","ASV_0462",4.01965096943439e-16,7.2353717449819e-15,"ANOVA - CLR (aoc)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA
"83","ASV_0465",0.000249999529593054,0.000482887860961987,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum",NA
"84","ASV_0515",1.22675854293233e-05,2.90548075957656e-05,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium",NA
"85","ASV_0551",1.19626597210028e-09,4.89381534041022e-09,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Pseudoramibacter",NA
"86","ASV_0703",1.23914122999389e-10,6.97016941871562e-10,"ANOVA - CLR (aoc)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella",NA
"87","ASV_0713",0.00230720981476331,0.00364296286541575,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella",NA
"88","ASV_0768",2.00977490710754e-10,1.0639984802334e-09,"ANOVA - CLR (aoc)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Raoultibacter",NA
"89","ASV_0882",3.05633332646941e-10,1.52816666323471e-09,"ANOVA - CLR (aoc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Anaerococcus",NA
"90","Others",0.000343498757426392,0.000606174277811279,"ANOVA - CLR (aoc)",NA,NA,NA,NA,NA,NA,NA
